тип,Пр.Всего,Цена,Балк/Лодж,Санузел,Тип дома,Отделка,Этаж,Мебель,ПлощКухни,ЖилПлощ,Кол-воЭтаж,Кол-воКомн,Парковка,Ремонт,ВысПотол,Техника,ОбщПлощ,ГодПостр,Широта,Долгота,Адрес
Вторичка,202,10100000,лоджия,совмещенный,кирпичный,,8,,9 м²,15 м²,10,1,подземная,требует ремонта,2.6 м,,36.3 м²,2019,55.796977,49.182178,"Республика Татарстан, Казань, ул. Разведчика Ахмерова, 7"
Вторичка,3418,6500000,лоджия,раздельный,кирпичный,,3,,15 м²,32 м²,5,2,открытая во дворе,требует ремонта,2.7 м,,59.7 м²,2022,55.86755336508834,48.83327288107683,"Республика Татарстан, Зеленодольский р-н, Осиновское сельское поселение, с. Новая Тура, Дорожная ул., 8"
Вторичка,53,8100000,лоджия,совмещенный,монолитный,,6,кухня,12.7 м²,15 м²,9,1,"открытая во дворе, за шлагбаумом во дворе",евро,2.8 м,стиральная машина,41.5 м²,2014,55.834477,49.059145,"Республика Татарстан (Татарстан), Казань, ул. Восстания, 80А"
Вторичка,1637,8299000,балкон,совмещенный,кирпичный,,8,"кухня, хранение одежды, спальные места",12 м²,19 м²,,1,"подземная, открытая во дворе, за шлагбаумом во дворе",косметический,2.7 м,"холодильник, стиральная машина",54.7 м²,,55.73064041,49.16921616,"Республика Татарстан, Казань, ул. Баки Урманче, 10"
Вторичка,6499,14990000,лоджия,совмещенный,монолитно-кирпичный,,3,"кухня, хранение одежды, спальные места",19.3 м²,25 м²,19,2,"наземная многоуровневая, за шлагбаумом во дворе",дизайнерский,2.7 м,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",45.6 м²,2018,55.7973671,49.1866951,"р-н Советский, Республика Татарстан, Казань, пр. Юнуса Ахметзянова, 10"
Вторичка,473,16500000,,совмещенный,монолитный,,8,,24 м²,,21,1,подземная,требует ремонта,,,46.5 м²,2024,55.815260205475596,49.14405462327571,"Республика Татарстан (Татарстан), Казань, ул. Сибгата Хакима, 62"
Вторичка,1306,8300000,балкон,раздельный,монолитный,,8,,12 м²,19 м²,16,1,,косметический,2.8 м,,53.6 м²,2012,55.730639,49.169215,"Республика Татарстан (Татарстан), Казань, ул. Баки Урманче, 10"
Вторичка,3493,7900000,балкон,совмещенный,кирпичный,,4,"кухня, хранение одежды",8 м²,,10,1,открытая во дворе,евро,2.7 м,"кондиционер, холодильник, стиральная машина, водонагреватель",44.7 м²,,55.72946167,49.17484665,"Республика Татарстан, Казань, ул. Гарифа Ахунова, 14"
Вторичка,11970,30990000,лоджия,"совмещенный, раздельный",монолитно-кирпичный,,6,"кухня, хранение одежды, спальные места",27 м²,21 м²,7,2,"подземная, открытая во дворе",дизайнерский,3.3 м,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",68.5 м²,2021,55.813014049194265,49.13560432760826,"Республика Татарстан (Татарстан), Казань, ул. Алексея Козина, 2"
Вторичка,1027,2790000,,совмещенный,кирпичный,,5,,,,5,студия,,евро,,,17 м²,,55.86221695,49.09963989,"Республика Татарстан, Казань, Авиастроительный район, Молодёжная ул., 10"
Вторичка,3341,15000000,лоджия,раздельный,кирпичный,,5,,13.8 м²,87.4 м²,6,6,,требует ремонта,3 м,,154.9 м²,1994,55.802351,49.17147,"Республика Татарстан, Казань, ул. Николая Ершова, 49А"
Вторичка,1068,21955000,лоджия,раздельный,монолитно-кирпичный,,19,,21 м²,,20,3,"подземная, открытая во дворе",требует ремонта,3.1 м,,68.2 м²,2021,55.81336594,49.13636398,"Республика Татарстан (Татарстан), Казань, ул. Алексея Козина, 2"
Вторичка,8122,5340000,балкон,совмещенный,кирпичный,,3,,6.3 м²,17.8 м²,9,1,открытая во дворе,евро,2.6 м,,31 м²,1984,55.85922623,49.23138046,"р-н Советский, Республика Татарстан, Казань, ул. Солидарности, 28"
