views,price,floor,kitchen_area,living_area,total_floors,rooms,ceiling_height,total_area,year_built,latitude,longitude,address,floor_ratio,type_vtorichka,type_novostroyki,balcony_lodzhiya,balcony_balkon,balcony_net,bathroom_sovmeschennyy,bathroom_razdelnyy,bathroom_,house_type_kirpichnyy,house_type_monolitnyy,house_type_monolitno-kirpichnyy,house_type_blochnyy,house_type_panelnyy,house_type_derevyannyy,repair_trebuet_remonta,repair_evro,repair_kosmeticheskiy,repair_dizaynerskiy,repair_neizvestnyy,finishing_neizvestnyy,finishing_predchistovaya,finishing_bez_otdelki,finishing_chistovaya,furniture_net,furniture_kuhnya,furniture_hranenie_odezhdy,furniture_spalnye_mesta,parking_podzemnaya,parking_otkrytaya_vo_dvore,parking_za_shlagbaumom_vo_dvore,parking_nazemnaya_mnogourovnevaya,parking_net,technique_net,technique_stiralnaya_mashina,technique_holodilnik,technique_konditsioner,technique_posudomoechnaya_mashina,technique_vodonagrevatel,price_per_sqm,geometry,Kindergarten,School,Mall,Playground,Theatre,Supermarket,Subway Entrance,Bus Stop,Park,Square,Sports Centre,Hospital,Highway,Parking
202,10100000,8,9.0,15.0,10.0,1.0,2.6,36.3,2019.0,55.796977,49.182178,"Республика Татарстан, Казань, ул. Разведчика Ахмерова, 7",0.8,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,278236.914600551,POINT (49.182178 55.796977),1,2,1,15,0,3,0,0,1,0,0,1,238,21
3418,6500000,3,15.0,32.0,5.0,2.0,2.7,59.7,2022.0,55.86755336508834,48.83327288107683,"Республика Татарстан, Зеленодольский р-н, Осиновское сельское поселение, с. Новая Тура, Дорожная ул., 8",0.6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,108877.72194304857,POINT (48.83327288107683 55.86755336508834),0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,8100000,6,12.7,15.0,9.0,1.0,2.8,41.5,2014.0,55.834477,49.059145,"Республика Татарстан (Татарстан), Казань, ул. Восстания, 80А",0.6666666666666666,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,195180.72289156626,POINT (49.059145 55.834477),0,1,0,3,0,1,0,4,2,0,1,1,132,5
1637,8299000,8,12.0,19.0,,1.0,2.7,54.7,,55.73064041,49.16921616,"Республика Татарстан, Казань, ул. Баки Урманче, 10",,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,151718.46435100547,POINT (49.16921616 55.73064041),3,0,0,9,0,2,0,2,0,0,0,1,146,24
6499,14990000,3,19.3,25.0,19.0,2.0,2.7,45.6,2018.0,55.7973671,49.1866951,"р-н Советский, Республика Татарстан, Казань, пр. Юнуса Ахметзянова, 10",0.15789473684210525,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,328728.0701754386,POINT (49.1866951 55.7973671),0,2,0,7,0,2,0,0,1,0,0,0,163,13
473,16500000,8,24.0,,21.0,1.0,2.7,46.5,2024.0,55.8152602054756,49.14405462327571,"Республика Татарстан (Татарстан), Казань, ул. Сибгата Хакима, 62",0.38095238095238093,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,354838.70967741933,POINT (49.14405462327571 55.8152602054756),2,1,0,3,0,0,0,1,0,0,0,1,97,4
1306,8300000,8,12.0,19.0,16.0,1.0,2.8,53.6,2012.0,55.730639,49.169215,"Республика Татарстан (Татарстан), Казань, ул. Баки Урманче, 10",0.5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,154850.74626865672,POINT (49.169215 55.730639),3,0,0,9,0,2,0,2,0,0,0,1,146,24
3493,7900000,4,8.0,,10.0,1.0,2.7,44.7,,55.72946167,49.17484665,"Республика Татарстан, Казань, ул. Гарифа Ахунова, 14",0.4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,176733.7807606264,POINT (49.17484665 55.72946167),4,1,0,8,0,4,0,4,0,0,0,1,196,32
11970,30990000,6,27.0,21.0,7.0,2.0,3.3,68.5,2021.0,55.813014049194265,49.13560432760826,"Республика Татарстан (Татарстан), Казань, ул. Алексея Козина, 2",0.8571428571428571,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,452408.7591240876,POINT (49.13560432760826 55.813014049194265),1,0,0,3,0,0,0,3,0,0,1,1,169,5
1027,2790000,5,,,5.0,0.0,2.7,17.0,,55.86221695,49.09963989,"Республика Татарстан, Казань, Авиастроительный район, Молодёжная ул., 10",1.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,164117.64705882352,POINT (49.09963989 55.86221695),4,1,1,5,0,4,0,2,0,0,0,0,103,3
